Artifact Type,Program/Capability,App ID,Source Hive,Last Used Start / Last Execution,Registry Path,Key Modified,Raw Hex
DAM,system32\drivers\ndis.sys,NDIS,,,ROOT\ControlSet001\Services\NDIS,2026-03-01T06:34:38.334676,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 64 69 73 2E 73 79 73
DAM,System32\drivers\ndiscap.sys,NdisCap,,,ROOT\ControlSet001\Services\NdisCap,2019-03-19T04:53:37.881229,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 64 69 73 63 61 70 2E 73 79 73
DAM,System32\drivers\NdisImPlatform.sys,NdisImPlatform,,,ROOT\ControlSet001\Services\NdisImPlatform,2019-03-19T04:53:37.881229,53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4E 64 69 73 49 6D 50 6C 61 74 66 6F 72 6D 2E 73 7
DAM,System32\DRIVERS\ndistapi.sys,NdisTapi,,,ROOT\ControlSet001\Services\NdisTapi,2026-03-05T02:44:44.951955,53 79 73 74 65 6D 33 32 5C 44 52 49 56 45 52 53 5C 6E 64 69 73 74 61 70 69 2E 73 79 73
DAM,system32\drivers\ndisuio.sys,Ndisuio,,,ROOT\ControlSet001\Services\Ndisuio,2026-03-01T06:35:33.218513,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 64 69 73 75 69 6F 2E 73 79 73
DAM,\SystemRoot\System32\drivers\NdisVirtualBus.sys,NdisVirtualBus,,,ROOT\ControlSet001\Services\NdisVirtualBus,2026-03-05T02:44:24.697731,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4E 64 69 73 5
DAM,\SystemRoot\System32\drivers\ndiswan.sys,NdisWan,,,ROOT\ControlSet001\Services\NdisWan,2026-03-05T02:44:44.951955,5C 53 79 73 74 65 6D 52 6F 6F 74 5C 53 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 6E 64 69 73 7
DAM,System32\DRIVERS\ndiswan.sys,ndiswanlegacy,,,ROOT\ControlSet001\Services\ndiswanlegacy,2026-03-02T22:44:36.458907,53 79 73 74 65 6D 33 32 5C 44 52 49 56 45 52 53 5C 6E 64 69 73 77 61 6E 2E 73 79 73
DAM,system32\drivers\NDKPing.sys,NDKPing,,,ROOT\ControlSet001\Services\NDKPing,2019-03-19T04:53:37.881229,73 79 73 74 65 6D 33 32 5C 64 72 69 76 65 72 73 5C 4E 44 4B 50 69 6E 67 2E 73 79 73
DAM,System32\DRIVERS\NDProxy.sys,ndproxy,,,ROOT\ControlSet001\Services\ndproxy,2026-03-02T22:44:35.396447,53 79 73 74 65 6D 33 32 5C 44 52 49 56 45 52 53 5C 4E 44 50 72 6F 78 79 2E 73 79 73
